ADMIN1,District,Year,Endemicity,MDA_scheme,PopReq_SAC,PopTrg_SAC,PopTreat_SAC,Cov_SAC,EpiCov_SAC,PopReq_Adults,PopTrg_Adults,PopTreat_Adults,Cov_Adults,EpiCov_Adults,PopReq_Total,PopTrg_Total,PopTreat_Total,Cov_Total,EpiCov_Total,Cov_PSAC,EpiCov_PSAC,param_label
Northern,Mzuzu City,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Zomba City,2014,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Dedza,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Dowa,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Kasungu,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Lilongwe,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Mchinji,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Nkhotakota,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Ntcheu,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Ntchisi,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Salima,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Likoma,Likoma,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Chitipa,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Karonga,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Nkhata Bay,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Rumphi,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Balaka,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Blantyre,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Chikwawa,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Chiradzulu,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Machinga,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Mangochi,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Mulanje,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Mwanza,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Neno,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Nsanje,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Phalombe,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Thyolo,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Zomba,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Mzimba,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Central,Lilongwe City,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Blantyre City,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Northern,Mzuzu City,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
Southern,Zomba City,2013,Not reported,Not delivered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,calibration data
