TLO_Sequela_Code,Sequela,Health state name,Health state lay description,disability weight,lower,uppper
967,Moderate vision impairment due to diabetes mellitus,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
968,Diabetic foot due to neuropathy,Diabetic neuropathy with diabetic foot,--,,,
969,Severe vision impairment due to diabetes mellitus,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
970,Diabetic neuropathy,Diabetic neuropathy,"has pain, tingling and numbness in the arms, legs, hands and feet. The person sometimes gets cramps and muscle weakness.",0.133,0.089,0.187
971,Uncomplicated diabetes mellitus,Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049,0.031,0.072
972,Diabetic neuropathy and amputation with treatment,Diabetic neuropathy with treated amputation,--,,,
973,Diabetic neuropathy and amputation without treatment,Diabetic neuropathy with untreated amputation,--,,,
974,Blindness due to diabetes mellitus,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
975,Acute glomerulonephritis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
976,Stage V chronic kidney disease untreated and severe anemia due to diabetes mellitus,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.631,0.456,0.782
977,End-stage renal disease after transplant due to diabetes mellitus,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.",0.024,0.014,0.039
978,Stage IV chronic kidney disease untreated without anemia due to diabetes mellitus,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.",0.104,0.07,0.147
979,Stage III chronic kidney disease and severe anemia due to diabetes mellitus,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
980,Stage III chronic kidney disease and mild anemia due to diabetes mellitus,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
981,Stage IV chronic kidney disease untreated and mild anemia due to diabetes mellitus,Mild anemia with Stage IV CKD,--,,,
982,Stage III chronic kidney disease without anemia due to diabetes mellitus,Asymptomatic,--,,,
983,Stage IV chronic kidney disease untreated and moderate anemia due to diabetes mellitus,Moderate anemia with Stage IV CKD,--,,,
984,Stage V chronic kidney disease untreated without anemia due to diabetes mellitus,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.569,0.389,0.727
985,Stage IV chronic kidney disease untreated and severe anemia due to diabetes mellitus,Severe anemia with Stage IV CKD,--,,,
986,Stage V chronic kidney disease untreated and moderate anemia due to diabetes mellitus,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.591,0.414,0.743
987,End-stage renal disease on dialysis due to diabetes mellitus,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ",0.571,0.398,0.725
988,Stage V chronic kidney disease untreated and mild anemia due to diabetes mellitus,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.57,0.391,0.727
989,Stage III chronic kidney disease and moderate anemia due to diabetes mellitus,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
990,Stage IV chronic kidney disease untreated and moderate anemia due to hypertension,Moderate anemia with Stage IV CKD,--,,,
991,Stage III chronic kidney disease without anemia due to hypertension,Asymptomatic,--,,,
992,Stage V chronic kidney disease untreated and moderate anemia due to hypertension,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.591,0.414,0.743
993,Stage V chronic kidney disease untreated and severe anemia due to hypertension,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.631,0.456,0.782
994,End-stage renal disease on dialysis due to hypertension,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ",0.571,0.398,0.725
995,Stage V chronic kidney disease untreated and mild anemia due to hypertension,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.57,0.391,0.727
996,Stage III chronic kidney disease and mild anemia due to hypertension,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
997,Stage IV chronic kidney disease untreated and severe anemia due to hypertension,Severe anemia with Stage IV CKD,--,,,
998,Stage IV chronic kidney disease untreated without anemia due to hypertension,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.",0.104,0.07,0.147
999,Stage V chronic kidney disease untreated without anemia due to hypertension,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.569,0.389,0.727
1000,Stage III chronic kidney disease and severe anemia due to hypertension,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1001,Stage IV chronic kidney disease untreated and mild anemia due to hypertension,Mild anemia with Stage IV CKD,--,,,
1002,End-stage renal disease after transplant due to hypertension,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.",0.024,0.014,0.039
1003,Stage III chronic kidney disease and moderate anemia due to hypertension,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1004,End-stage renal disease after transplant due to glomerulonephritis,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.",0.024,0.014,0.039
1005,Stage IV chronic kidney disease untreated without anemia due to glomerulonephritis,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.",0.104,0.07,0.147
1006,Stage V chronic kidney disease untreated and moderate anemia due to glomerulonephritis,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.591,0.414,0.743
1007,Stage III chronic kidney disease and moderate anemia due to glomerulonephritis,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1008,Stage III chronic kidney disease and severe anemia due to glomerulonephritis,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1009,Stage III chronic kidney disease and mild anemia due to glomerulonephritis,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1010,Stage III chronic kidney disease without anemia due to glomerulonephritis,Asymptomatic,--,,,
1011,Stage V chronic kidney disease untreated and mild anemia due to glomerulonephritis,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.57,0.391,0.727
1012,Stage IV chronic kidney disease untreated and severe anemia due to glomerulonephritis,Severe anemia with Stage IV CKD,--,,,
1013,Stage IV chronic kidney disease untreated and moderate anemia due to glomerulonephritis,Moderate anemia with Stage IV CKD,--,,,
1014,Stage V chronic kidney disease untreated and severe anemia due to glomerulonephritis,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.631,0.456,0.782
1015,Stage V chronic kidney disease untreated without anemia due to glomerulonephritis,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.569,0.389,0.727
1016,Stage IV chronic kidney disease untreated and mild anemia due to glomerulonephritis,Mild anemia with Stage IV CKD,--,,,
1017,End-stage renal disease on dialysis due to glomerulonephritis,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ",0.571,0.398,0.725
1018,Stage V chronic kidney disease untreated without anemia due to other causes,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.",0.569,0.389,0.727
1019,Stage III chronic kidney disease without anemia due to other causes,Asymptomatic,--,,,
1020,Stage IV chronic kidney disease untreated without anemia due to other causes,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.",0.104,0.07,0.147
1021,Stage III chronic kidney disease and mild anemia due to other causes,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1022,Stage IV chronic kidney disease untreated and mild anemia due to other causes,Mild anemia with Stage IV CKD,--,,,
1023,Stage III chronic kidney disease and moderate anemia due to other causes,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1024,Stage IV chronic kidney disease untreated and moderate anemia due to other causes,Moderate anemia with Stage IV CKD,--,,,
1025,Stage V chronic kidney disease untreated and moderate anemia due to other causes,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.591,0.414,0.743
1026,Stage III chronic kidney disease and severe anemia due to other causes,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1027,Stage IV chronic kidney disease untreated and severe anemia due to other causes,Severe anemia with Stage IV CKD,--,,,
1028,End-stage renal disease after transplant due to other causes,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.",0.024,0.014,0.039
1029,Stage V chronic kidney disease untreated and severe anemia due to other causes,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.631,0.456,0.782
1030,Stage V chronic kidney disease untreated and mild anemia due to other causes,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),0.57,0.391,0.727
1031,End-stage renal disease on dialysis due to other causes,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ",0.571,0.398,0.725
1032,Mild interstitial nephritis and urinary tract infections,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.006,0.002,0.012
1033,Moderate interstitial nephritis and urinary tract infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.051,0.032,0.074
1034,Moderate urolithiasis episodes,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
1035,Severe urolithiasis episodes,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
1036,Mild urolithiasis episodes,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
1037,Symptomatic benign prostatic hyperplasia,"Benign prostatic hypertrophy, symptomatic cases","feels the urge to urinate frequently, but when passing urine it comes out slowly and sometimes is painful.",0.067,0.043,0.097
1038,Asymptomatic benign prostatic hyperplasia,Asymptomatic,--,,,
1039,Primary male infertility,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
1040,Secondary male infertility,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005,0.002,0.011
1041,Other urinary diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
1042,Asymptomatic uterine fibroids,Asymptomatic,--,,,
1043,"Mild abdominal pain due to uterine fibroids, with severe anemia ",Mild abdominal pain with severe anemia,(combined DW),,,
1044,"Mild abdominal pain due to uterine fibroids, with moderate anemia ",Mild abdominal pain with moderate anemia,(combined DW),,,
1045,"Mild abdominal pain due to uterine fibroids, without anemia ","Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
1046,"Mild abdominal pain due to uterine fibroids, with mild anemia ",Mild abdominal pain with mild anemia,(combined DW),,,
1047,Secondary infertility due to polycystic ovarian syndrome,Disfigurement level 1 and secondary infertility,(combined DW),,,
1048,Hirsutism due to polycystic ovarian syndrome,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.",0.011,0.005,0.021
1049,Hirsutism and secondary infertility due to polycystic ovarian syndrome,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005,0.002,0.011
1050,Asymptomatic polycystic ovarian syndrome,Asymptomatic,--,,,
1051,Hirsutism and primary infertility due to polycystic ovarian syndrome,Disfigurement level 1 and primary infertility,(combined DW),,,
1052,Primary infertility due to polycystic ovarian syndrome,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
1053,Idiopathic secondary female infertility,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005,0.002,0.011
1054,Idiopathic primary female infertility,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
1055,Mild abdominal pain and secondary infertility due to endometriosis,Mild abdominal pain and secondary infertility,(combined DW),,,
1056,Moderate abdominal pain and secondary infertility due to endometriosis,Moderate abdominal pain and secondary infertility,(combined DW),,,
1057,Severe abdominal pain and secondary infertility due to endometriosis,Severe abdominal pain and secondary infertility,(combined DW),,,
1058,Severe endometriosis,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
1059,Primary infertility due to endometriosis,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.008,0.003,0.015
1060,Secondary infertility due to endometriosis,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005,0.002,0.011
1061,Moderate abdominal pain due to endometriosis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
1062,Asymptomatic endometriosis,Asymptomatic,--,,,
1063,Severe abdominal pain and primary infertility due to endometriosis,Severe abdominal pain and primary infertility,(combined DW),,,
1064,Mild abdominal pain due to endometriosis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
1065,Moderate abdominal pain and primary infertility due to endometriosis,Moderate abdominal pain and primary infertility,(combined DW),,,
1066,Mild abdominal pain and primary infertility due to endometriosis,Mild abdominal pain and primary infertility,(combined DW),,,
1067,Abdominal pain due to genital prolapse,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
1068,Asymptomatic genital prolapse,Asymptomatic,--,,,
1069,Abdominal pain and stress incontinence due to genital prolapse,Mild abdominal pain and stress incontinence,(combined DW),,,
1070,Stress incontinence due to genital prolapse,Stress incontinence,"loses small amounts of urine without meaning to when coughing, sneezing, laughing or during physical exercise.",0.02,0.011,0.035
1071,Abdominal pain due to premenstrual syndrome,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
1072,Asymptomatic premenstrual syndrome,Asymptomatic,--,,,
1073,Depression due to premenstrual syndrome,"Major depressive disorder, mild episode","feels persistent sadness and has lost interest in usual activities. The person sometimes sleeps badly, feels tired, or has trouble concentrating but still manages to function in daily life with extra effort.",0.145,0.099,0.209
1074,Abdominal pain and depression due to premenstrual syndrome,Mild abdominal pain and mild depression,(combined DW),,,
1075,Severe other gynecological disorders,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.324,0.22,0.442
1076,Mild other gynecological disorders,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011,0.005,0.021
1077,Moderate anemia due to other gynecological diseases,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1078,Moderate other gynecological disorders,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.114,0.078,0.159
1079,Severe anemia due to other gynecological diseases,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1080,Asymptomatic other gynecological disorders,Asymptomatic,--,,,
1081,Mild anemia due to other gynecological diseases,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1082,"Beta-thalassemia major, with moderate anemia ","Anemia, moderate; Generic uncomplicated disease anxiety",--,,,
1083,Asymptomatic and mild heart failure due to thalassemias,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041,0.026,0.062
1084,Moderate heart failure due to thalassemias,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.072,0.047,0.103
1085,"Hemoglobin E/beta-thalassemia, with moderate anemia ","Anemia, moderate; Generic uncomplicated disease anxiety",--,,,
1086,"Hemoglobin H disease, with moderate anemia ","Anemia, moderate; Generic uncomplicated disease anxiety",--,,,
1087,"Hemoglobin H disease, severe infection with severe anemia ","Infectious disease, acute episode, severe; Generic uncomplicated disease anxiety; Anemia, severe",--,,,
1088,"Beta-thalassemia major, with severe anemia ","Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1089,"Hemoglobin E/beta-thalassemia, with severe anemia ","Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1090,"Beta-thalassemia major, severe infection with severe anemia ","Infectious disease, acute episode, severe; Generic uncomplicated disease anxiety; Anemia, severe",--,,,
1091,"Hemoglobin H disease, with mild anemia ","Anemia, mild; Generic uncomplicated disease anxiety",--,,,
1092,"Hemoglobin E/beta-thalassemia, severe infection with severe anemia ","Infectious disease, acute episode, severe; Generic uncomplicated disease anxiety; Anemia, severe",--,,,
1093,"Hemoglobin E/Beta-thalassemia, without anemia",Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012,0.006,0.023
1094,"Hemoglobin E/beta-thalassemia, with mild anemia ","Anemia, mild; Generic uncomplicated disease anxiety",--,,,
1095,"Beta-thalassemia major, with mild anemia ","Anemia, mild; Generic uncomplicated disease anxiety",--,,,
1096,"Beta-thalassemia major, without anemia",Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012,0.006,0.023
1097,"Hemoglobin H disease, without anemia",Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012,0.006,0.023
1098,Severe heart failure due to thalassemias,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179,0.122,0.251
1099,"Hemoglobin H disease, with severe anemia ","Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1100,Moderate anemia due to B-thalassemia trait,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1101,Asymptomatic B-thalassemia trait,Asymptomatic,--,,,
1102,Asymptomatic hemoglobin E trait,Asymptomatic,--,,,
1103,Moderate anemia due to hemoglobin E trait,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1104,Mild anemia due to B-thalassemia trait,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1105,Mild anemia due to hemoglobin E trait,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1106,Severe anemia due to hemoglobin E trait,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1107,Severe anemia due to B-thalassemia trait,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1108,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, without anemia",Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012,0.006,0.023
1109,"Hemoglobin SC disease, without anemia",Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012,0.006,0.023
1110,"Mild sickle cell/beta-thalassemia, without anemia",Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,0.012,0.006,0.023
1111,"Hemoglobin SC disease, with vaso-occlusive crisis, stroke, and severe anemia","Generic uncomplicated disease anxiety; long-term consequences due to stroke; severe abdominopelvic problem; Anemia, severe",--,,,
1112,"Mild sickle cell/beta-thalassemia, with vaso-occlusive crisis, stroke, and severe anemia","Generic uncomplicated disease anxiety; long-term consequences due to stroke; severe abdominopelvic problem; Anemia, severe",--,,,
1113,"Mild sickle cell/beta-thalassemia, with stroke, without anemia",Generic uncomplicated disease anxiety; long-term consequences due to stroke,--,,,
1114,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with vaso-occlusive crisis and stroke, without anemia",Generic uncomplicated disease anxiety; long-term consequences due to stroke; severe abdominopelvic problem,--,,,
1115,"Hemoglobin SC disease, with vaso-occlusive crisis and stroke, without anemia",Generic uncomplicated disease anxiety; long-term consequences due to stroke; severe abdominopelvic problem,--,,,
1116,"Mild sickle cell/beta-thalassemia, with vaso-occlusive crisis and stroke, without anemia",Generic uncomplicated disease anxiety; long-term consequences due to stroke; severe abdominopelvic problem,--,,,
1117,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with vaso-occlusive crisis and severe anemia","Moderate abdominal pain; Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1118,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with mild anemia ","Anemia, mild; Generic uncomplicated disease anxiety",--,,,
1119,"Hemoglobin SC disease, with stroke, without anemia",Generic uncomplicated disease anxiety; long-term consequences due to stroke,--,,,
1120,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with stroke, without anemia",Generic uncomplicated disease anxiety; long-term consequences due to stroke,--,,,
1121,"Mild sickle cell/beta-thalassemia, with vaso-occlusive crisis, without anemia",Generic uncomplicated disease anxiety and severe abdominopelvic problem,--,,,
1122,"Hemoglobin SC disease, with vaso-occlusive crisis, without anemia",Generic uncomplicated disease anxiety and severe abdominopelvic problem,--,,,
1123,"Hemoglobin SC disease, with vaso-occlusive crisis and severe anemia","Moderate abdominal pain; Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1124,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with severe anemia ","Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1125,"Hemoglobin SC disease, with severe anemia ","Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1126,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with stroke and severe anemia","Generic uncomplicated disease anxiety; Long-term consequences due to stroke; Anemia, severe",--,,,
1127,"Hemoglobin SC disease, with stroke and severe anemia","Generic uncomplicated disease anxiety; Long-term consequences due to stroke; Anemia, severe",--,,,
1128,"Hemoglobin SC disease, with mild anemia ","Anemia, mild; Generic uncomplicated disease anxiety",--,,,
1129,"Mild sickle cell/beta-thalassemia, with vaso-occlusive crisis and severe anemia","Moderate abdominal pain; Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1130,"Mild sickle cell/beta-thalassemia, with mild anemia ","Anemia, mild; Generic uncomplicated disease anxiety",--,,,
1131,"Mild sickle cell/beta-thalassemia, with severe anemia ","Anemia, severe; Generic uncomplicated disease anxiety",--,,,
1132,"Mild sickle cell/beta-thalassemia, with moderate anemia ","Anemia, moderate; Generic uncomplicated disease anxiety",--,,,
1133,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with vaso-occlusive crisis, stroke, and severe anemia","Generic uncomplicated disease anxiety; long-term consequences due to stroke; severe abdominopelvic problem; Anemia, severe",--,,,
1134,"Hemoglobin SC disease, with moderate anemia ","Anemia, moderate; Generic uncomplicated disease anxiety",--,,,
1135,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with moderate anemia ","Anemia, moderate; Generic uncomplicated disease anxiety",--,,,
1136,"Homozygous sickle cell and severe sickle cell/beta-thalassemia, with vaso-occlusive crisis, without anemia",Generic uncomplicated disease anxiety and severe abdominopelvic problem,--,,,
1137,"Mild sickle cell/beta-thalassemia, with stroke and severe anemia","Generic uncomplicated disease anxiety; Long-term consequences due to stroke; Anemia, severe",--,,,
1138,Asymptomatic sickle cell trait,Asymptomatic,--,,,
1139,Moderate anemia due to sickle cell trait,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1140,Mild anemia due to sickle cell trait,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1141,Severe anemia due to sickle cell trait,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1142,Asymptomatic and mild heart failure due to G6PD deficiency,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041,0.026,0.062
1143,Mild anemia due to G6PD deficiency,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1144,Severe heart failure due to G6PD deficiency,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179,0.122,0.251
1145,Severe anemia due to G6PD deficiency,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1146,Asymptomatic G6PD deficiency,Asymptomatic,--,,,
1147,Moderate heart failure due to G6PD deficiency,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.072,0.047,0.103
1148,Moderate anemia due to G6PD deficiency,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1149,Mild anemia due to hemizygous G6PD deficiency,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1150,Severe anemia due to hemizygous G6PD deficiency,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.149,0.101,0.209
1151,Moderate anemia due to hemizygous G6PD deficiency,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.052,0.034,0.076
1152,Asymptomatic hemizygous G6PD deficiency,Asymptomatic,--,,,
1153,Mild anemia due to other hemoglobinopathies and hemolytic anemias,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.004,0.001,0.008
1154,Other hemoglobinopathies and hemolytic anemias,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,,,
1155,Severe heart failure due to other hemoglobinopathies and hemolytic anemias,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.179,0.122,0.251
1156,Asymptomatic and mild heart failure due to other hemoglobinopathies and hemolytic anemias,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041,0.026,0.062
1157,Moderate heart failure due to other hemoglobinopathies and hemolytic anemias,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.072,0.047,0.103
